StationName,Latitude,Longitude
Kandilpura,22.72283000,75.8433
Jinsi Square,22.72288000,75.84609000
Chouthi Paltan,22.72271000,75.84841000
Badwali Chouki,22.7225,75.84988000
Smrati Talkies,22.72244000,75.85266000
Ram Bagh,31.6359,74.87983000
Indraprastha Tower,22.72278000,75.88235000
Palasiya 56 Shop,22.72362000,75.88533000
Badwani Plaza,22.72332000,75.88849000
Gayatri Mandir,22.72321000,75.89301000
Patrakar Chouraha,22.72221000,75.89483000
Bangali Ringroad,22.71914000,75.9063
Mayur Hospital,22.72465000,75.90547000
Khajrana Ring Road,22.73217000,75.90206000
Siddhivinayak hospital,22.7297,75.9033
Bangali Ringroad - 1,22.72006000,75.90539000
Nagar Nigam Depot_2,22.72445000,75.85892000
Silicon City,22.64597000,75.8276
Shiv City Gate,22.65174000,75.8290
Silicon City Gate,22.64862000,75.82024000
IPS,22.65582000,75.82297000
Gamla Pulia,22.65906000,75.82423000
Reti Mandi Chouraha,22.66381000,75.82298000
Dutt Mandir,22.66706000,75.8256
Rajendra Nagar Square,22.67008000,75.8286
Vaishali Nagar,22.68372000,75.8296
Chanakyapuri Square_1,22.6839,75.8362
Annapurna Nagar,22.68774000,75.83683000
Annapurna Mandir,22.68935000,75.83725000
Bank Colony,22.69451000,75.8387
Lal Baug_1,22.70538000,75.84605000
G.D.C College,22.70685000,75.8500
Jabran Colony/Juni Indore,22.7077,75.85902000
Sindhi Colony,22.70085000,75.86308000
Tower Chouraha_1,22.69772000,75.86488000
Sapna Sangeeta,22.69971000,75.86739000
Agrasen Chauraha,22.70368000,75.87329000
Navlakha Bus Stop City Bus,22.7014,75.87736000
Chitawad_2,22.69211000,75.88225000
Prakash Nagar_2,22.69595000,75.87971000
Tower Chouraha_2,22.6982,75.8646
Biyabani,22.71169000,75.84197000
Kila Maidan/Laxmi Bai Pratima,22.72607000,75.84571000
Mahesh Guard Line/Police Line Pump,22.73266000,75.84669000
Baneshwari Kund,22.7475,75.84991000
Rewati Range,22.80976000,75.84786000
Toll Naka Ujjain Road,22.81725000,75.84916000
Vaishnav College,22.82474000,75.85019000
Palasiya Chouraha,22.72373000,75.88665000
T.I.,22.72158000,75.87766000
Sanjay Setu_1,22.71866000,75.85933000
Bijalpur,22.67169000,75.83487000
Rajendra Nagar,22.67021000,75.83235000
Chanakyapuri Square,22.68423000,75.83581000
Lokmanya Nagar,22.69601000,75.84431000
R.T.O,22.69989000,75.84477000
Lal Baug_2,22.70536000,75.84727000
Shri Pandharinath Mandir_2,22.71342000,75.85589000
Shri Pandharinath Mandir_1,22.71356000,75.85655000
Zoo,22.70483000,75.87799000
Patel Pratima,22.71453000,75.87182000
GSITS Chauraha (Marimata Mandir),22.72535000,75.86913000
Rajkumar Mill1/ Rajkumar Bridge ,22.72733000,75.86464000
DRP Line,22.7278,75.8629
ChimanBagh,22.7240,75.86206000
Lokhande Bridge,22.72849000,75.85966000
Ahilya Ashram,22.73401000,75.86032000
Polo Ground,22.73456000,75.85739000
Khada Ganpati,22.73699000,75.84698000
Rambali Chouraha,22.73756000,75.84443000
Sch. No. 51,22.73997000,75.84261000
Triveni Chouraha,22.74223000,75.84104000
Ganesh Bagh,22.74406000,75.83943000
Vikas Pradhikaran,22.74591000,75.83805000
Dashrath Bagh,22.74835000,75.83614000
Nandbagh,22.74997000,75.83457000
Tigriya Badshah Kakad,22.75605000,75.83071000
Bhagirathpura,22.74579000,75.86117000
Bhagirathpura Pul,22.74653000,75.86611000
Damru Ustad Chouraha,22.74606000,75.8687
Pardesipura,22.74503000,75.87168000
Teenpuliya ,22.74381000,75.87409000
Nanda Nagar,22.74213000,75.87692000
Bakery Gali,22.73647000,75.87761000
Palsikar,22.70692000,75.85579000
Prem Nagar,22.70389000,75.85541000
Manik Baug,22.69758000,75.85478000
Saifi Nagar,22.69519000,75.85495000
Choithram Hospital,22.68828000,75.85532000
Choithram Mandi,22.68339000,75.85544000
ADVANCED ACADEMY,22.75126000,75.92542000
Nipaniya Gram,22.76102000,75.9293
Samar park,22.7632,75.92182000
B.C.M. Paradise,22.75223000,75.92148000
Tulsi Nagar,22.75285000,75.91879000
Sun City,22.75301000,75.91547000
Mahalakshmi Nagar,22.75374000,75.90734000
Bombay Hospital,22.75361000,75.90408000
Radisson Hotel,22.74975000,75.90318000
Sayaji,22.75202000,75.89107000
Girdhar Mahal,22.74929000,75.89009000
Bhamori,22.74662000,75.88795000
Astha Anup/Anup Talkies,22.74385000,75.88437000
G.S.I.T.S.,22.72519000,75.87421000
Regal (Shastri Bridge),22.71982000,75.86903000
Swarn Bagh,22.7353,75.90126000
Malviya Nagar,22.74121000,75.90245000
LIG,22.73396000,75.88969000
Christian Eminent,22.73594000,75.88671000
MIG Thana,22.73718000,75.88483000
Subhash Nagar_1,22.74302000,75.8704
Naka Bhatta,22.74134000,75.86815000
Pardeshipura Thana,22.73916000,75.86748000
Bhandari Mill,22.72985000,75.86328000
G.D.C,22.72872000,75.84611000
Indore Wire Factory,22.72694000,75.84163000
Rambali Nagar,22.73435000,75.84081000
Excellent School,22.73584000,75.83723000
Sanmati Hospital,22.73801000,75.83437000
Sangam Nagar,22.74049000,75.83765000
Subhash Nagar_2,22.74332000,75.87088000
BAL VINAY MANDIR/ NEHRU PARK RAILWAY STATION,22.72489000,75.8691
Mukti Dham,22.73957000,75.87127000
Kankeshwari Mata Mandir,22.74816000,75.8691
Electronic Complex,22.75065000,75.86936000
Gouri Nagar,22.75462000,75.86985000
Fortune Hotel,22.75344000,75.88469000
Meghdoot,22.75277000,75.88781000
Satya Sai City Bus,22.75532000,75.89702000
Jain Nursery,22.7595,75.89802000
Shalimar Township City Bus,22.76306000,75.89917000
Scheme No. 78,22.76606000,75.90007000
Nai Sadak,22.76691000,75.89983000
Dewas Naka,22.77189000,75.90188000
Laxmi Pump,22.77471000,75.90269000
Agrawal Tol Kanta,22.78167000,75.90475000
Lasudiya,22.78526000,75.90584000
Sanghi Motors,22.78859000,75.90684000
Tata Tower & Godown,22.79007000,75.90733000
Panchwati,22.79151000,75.90773000
Talawali Chanda Panchayat,22.80197000,75.91471000
Ruchi Soya,22.80491000,75.91689000
Hanuman Mandir Mangliya,22.80957000,75.92023000
Mangliya Gao,22.81773000,75.9264
Indian Oil Petrol Pump,22.82512000,75.93248000
Mangliya Toll Naka,22.82724000,75.93415000
Mangal City,22.75132000,75.8963
HEERA NAGAR THANA,22.75906000,75.87479000
Sukhliya,22.76108000,75.87496000
Royal Bungalow,22.76231000,75.92565000
Veena nagar,22.75897000,75.8702
PANDHARINATH THANA,22.7143,75.8563
Greater Vaishali,22.68378000,75.83066000
Siddhipuram,22.67964000,75.82897000
Paraspar Nagar,22.67568000,75.82553000
Narmada Chouraha,22.67381000,75.82438000
Krishna Nagar,22.67175000,75.82383000
D-Mart,22.66652000,75.8232
D A V V,22.68915000,75.87031000
Kelod Kartal(Lotus garden),22.63011000,75.88751000
Morod,22.62164000,75.86781000
MPPT,22.62387000,75.88641000
Chameli Devi Clg,22.61529000,75.88765000
Umrikheda,22.6063,75.89167000
Sapera Colony,22.60906000,75.89037000
Swami Vivekanand Clg,22.5967,75.89627000
9 Mil,22.58064000,75.90151000
Kanad,22.57156000,75.90339000
Shell City,22.56207000,75.90468000
Simrol,22.5392,75.91245000
IIT Simrol,22.52974000,75.91229000
IIT Simrol Gate No - 2,22.51903000,75.91524000
Power House_2,22.70012000,75.88906000
Dhanvantri Nagar,22.67199000,75.83024000
Surya Mandir,22.65822000,75.8064
Treasure Fantasy,22.65694000,75.80611000
NaidunIa,22.64902000,75.80682000
Rau Rangwasa Chauraha,22.63903000,75.80693000
Govt. College Rau,22.63977000,75.80426000
Shiv Chowk Rangwasa,22.64447000,75.78835000
Nandlalpura,22.71643000,75.85815000
Sarwate Bus Stand,22.71381000,75.8686
Prakash Nagar_1,22.69485000,75.88044000
Jairam Toll Kanta,22.68395000,75.91371000
Lakhani Bypass,22.68046000,75.92071000
Index Medical College,22.68164000,76.05086000
Khudel,22.68832000,76.02612000
Dudhia,22.67625000,75.94377000
Devguradiya,22.6755,75.93377000
Trenching Ground Indore,22.67837000,75.92474000
Shiv Nagar,22.68512000,75.91005000
Udhyog Nagar,22.68678000,75.9067
Babul Nagar,22.68772000,75.89447000
Shivaji Circle,22.71143000,75.88296000
Chitawad_1,22.68598000,75.88179000
Shrinath Colony,22.73512000,75.83015000
Prabhu Nagar,22.67934000,75.83449000
Shiv City square,22.65104000,75.83103000
Deoguradiya Temple,22.67399000,75.93444000
Sanawadiya,22.65636000,75.94163000
Jamniya Khurd,22.63973000,75.96125000
Rajdhara,22.63714000,75.97479000
Ujjaini,22.64482000,75.9979
Mundla,22.6330,75.99139000
Pivday,22.62323000,76.0283
Kampel,22.62041000,76.04865000
Bijasan / Bijasan Central School,22.73272000,75.80021000
Malviya Pump,22.74856000,75.90341000
Velocity Talkies,22.74521000,75.90292000
City Bus Depot,22.73763000,75.90207000
Rajiv Gandhi Circle,22.68264000,75.85727000
Choithram Mandi Gate,22.68188000,75.85246000
Kesharbagh Bridge,22.68246000,75.84427000
Gopur Square,22.68422000,75.82914000
Bangali Colony,22.7193,75.90843000
Bicholi Hapsi,22.71583000,75.93964000
Tigariya Badshah,22.76223000,75.82946000
Agrawal Public School,22.70314000,75.91824000
Bypass,22.70112000,75.92634000
Bicholi Mardana,22.6989,75.92823000
Kalindi,22.68683000,75.93041000
Shree Vinayak Colony,22.68066000,75.93199000
Shivalik Parisar,22.67559000,75.94032000
Kankad,22.7795,75.85702000
Bholaram/Deendayal Upadhyay Garden,22.68805000,75.8626
Chhota Bangarda,22.74651000,75.81374000
Laxmibai Mandi,22.72989000,75.8374
Telephone Nagar,22.72061000,75.90222000
Tilak Nagar,22.72112000,75.89869000
Nath Mandir,23.03611000,75.69467000
Riverside_2,22.71993000,75.85974000
Pink City,22.69958000,75.90671000
Essar Pump/ Pawanpuri Colony,22.68982000,75.88923000
Tejaji Chowk,22.68146000,75.89518000
Shubh City,22.67853000,75.89975000
Nayta Mundla Bypass,22.6651,75.91563000
M R-10 Toll Plaza,22.77568000,75.8603
Chameli Devi School,22.67685000,75.83788000
Akashwani Kendra,22.6464,75.81923000
Shramik Colony/Jivan Jyoti,22.64311000,75.8175
Rau Bus Stand,22.63663000,75.8106
Mama ji Dhaba,22.6319,75.80839000
Rau Bypass,22.63015000,75.80739000
Hardia Hospital,22.62713000,75.80548000
Medicaps,22.62063000,75.8010
Mahak Vatika,22.74068000,75.90703000
Khajrana Ring Road 1,22.7308,75.90276000
Geeta Bhawan Cross Road,22.71834000,75.88424000
Pharmacy,22.68448000,75.8790
Hanuman Mandir,22.71151000,75.90582000
Shivshakti Nagar,22.71965000,75.91076000
Vaibhav Nagar,22.72173000,75.91554000
Sanchar Nagar,22.72248000,75.91727000
Diamond Colony,22.72561000,75.92302000
Manavata Nagar,22.72688000,75.92779000
Manavata ByPass,22.72771000,75.93204000
Kanadiya Thana,22.7296,75.9370
Spring Valley School,22.73069000,75.9403
Karuna Sagar,22.73469000,75.95199000
Nirmal Dham,22.73462000,75.95341000
Nav Factory,22.73473000,75.96065000
Kanadiya Gram,22.73535000,75.96719000
Sewa Kunj,22.74032000,75.97398000
Janta Colony,22.7218,75.84231000
Yashwant Plaza,22.7191,75.86917000
Indira Pratima,22.70357000,75.87655000
Surajbali Nagar,22.73997000,75.82355000
Yadav Dharmshala,22.7386,75.82552000
Gareeb Nawaj Colony,22.73756000,75.82684000
Isha Avenue Gate,22.73633000,75.82843000
Sangam Nagar Road,22.73428000,75.83147000
Hammal Colony,22.73287000,75.83338000
Apollo DB City,22.75847000,75.9217
Luv Kush/ Super Corridor,22.78985000,75.84645000
Super Corridor Bridge,22.78599000,75.83605000
TCS Square,22.77251000,75.81971000
Infosys Company,22.75971000,75.80857000
Bangarda Road,22.75334000,75.8037
Bohra Colony,22.74604000,75.8011
Super Corridor,22.73544000,75.79558000
Bhairav Baba Mandir,22.75735000,75.76962000
BSF Colony,22.76766000,75.76494000
Shivaji Vatika City Bus,22.71079000,75.88315000
Residency Area,22.70436000,75.88607000
Bada Bangarda,22.75843000,75.79431000
Mahima Smart City,22.75657000,75.79834000
Manushree Nagar,22.73294000,75.81547000
Palhar Nagar Water Tank,22.72829000,75.83026000
Niranjanpur,22.76904000,75.90103000
Shalimar Township BRT,22.76226000,75.89894000
Satya Sai,22.75448000,75.89654000
Vijay Nagar BRT,22.74951000,75.89505000
M. R. 9  Square,22.74333000,75.89316000
Press Complex,22.73744000,75.89131000
L.I.G. Square,22.73446000,75.89037000
Industry House,22.72904000,75.88864000
Palasiya,22.72471000,75.8871
Gita Bhawan,22.71902000,75.88447000
AiCTSL,22.71451000,75.88368000
Shivaji Vatika BRT,22.71109000,75.88203000
GPO BRT,22.70662000,75.87887000
Navlakha Square BRT,22.69815000,75.87753000
Holkar Subway BRT,22.69513000,75.87222000
Tantya Bheel Chouraha (Bhawarkua) BRT,22.69204000,75.86684000
Vishnupuri,22.68949000,75.86409000
Mata Gujri,22.68665000,75.86125000
Rajiv Gandhi,22.68392000,75.8582
Regional Park (A.B. Road),22.68243000,75.8552
Maa Vihar1,22.67794000,75.84998000
Gadbadi Pulia2,22.6754,75.84674000
Arjun Nagar,22.67382000,75.84129000
Durga Nagar,22.66531000,75.82676000
Reti Mandi2,22.66232000,75.82524000
Rau Petrol Pump,22.63865000,75.81401000
GOVT. SCHOOL GANDHI NAGAR,22.74852000,75.7749
Narsingh Chouraha,22.71559000,75.84937000
M.T.H._1,22.71984000,75.86429000
M.T.H._2,22.71883000,75.86425000
Shikshak Nagar,22.72429000,75.82648000
Rani Sati Gate,22.72858000,75.87449000
Hiranagar,22.7589,75.87609000
Royal Bungalow (Sukhliya),22.76251000,75.87349000
Bhangarh Square,22.77391000,75.87368000
Trimala Pride,22.77829000,75.87501000
Indorama Pithampur Sector III,22.63812000,75.5815
Sagour Kuti,22.6293,75.61344000
Eicher Chouraha,22.61107000,75.67722000
IIM Indore,22.63151000,75.7918
A P J Abdul Kalam University,22.79588000,75.93319000
Balaji Enclave,22.79679000,75.92822000
Casa Green Township,22.79763000,75.92058000
Ansal Town,22.79758000,75.91797000
Talawali Chanda,22.79839000,75.91219000
Bangali Ringroad,22.71879000,75.90613000
California City,22.74521000,75.98173000
Nath Mandir 1,22.72108000,75.87584000
Harsiddhi ,22.71291000,75.85606000
Dravid Nagar,22.70127000,75.83794000
Relax Garden,22.68945000,75.82558000
Bhagwati Dwar,22.68545000,75.8239
Kundan Nagar,22.67626000,75.81845000
Regional Park Gate,22.67736000,75.85555000
